start:	Thu May 04 23:57:06 2017
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	(for students who apply for one academic year’s exchange ONLY)
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Application Step 1– by coordinator
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	http://stuexdata.nju.edu.cn/index.php?m=Home&c=public&a=login
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	(We would offer “User ID” and “Password” to coordinator ONLY)
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	. (All documents pertaining to one student must be submitted in one file, with the student’s full name clearly indicated.)
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Please complete all application materials with clear information, including students’ full name, contact details, mailing address, etc. Poor handwriting may delay the admission process.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Application Step 2– by students
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Notice: Although exchange students are tuition-waived, when register in this online system, you should select “Self-Paying” as your enrollment type.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Step 1: Please select "Self-sponsored".
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Please select the option of "Deliver to Address Provided in Application".
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Step 9: After information confirmation, please click "Submit" buttion to finish your online applicaiton.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	400 Yuan RMB/one semester & 800 Yuan RMB/one academic year
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Before registration, you should bring the original copies of the “Physical Examination Record for Foreigner”, and the “HIV, Syphilis, and Hepatitis Examination Report” to Jiangsu International Travel Health Care Center (No. 39 Chuang-Zhi Road) to have them verified.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	You may be required to do the examination of “HIV, Syphilis, and Hepatitis Examination Report” at Jiangsu International Travel Health Care Center.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	The examination of “Physical Examination Record for Foreigner” could be done in your home country in advance.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Exchange students must take the original copy of “Physical Examination Record for Foreigner” by themselves to Nanjing University. Please DO NOT send it to our office.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Please download Form of “Physical Examination Record for Foreigner” from the following website:
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	(for Spring Semester). Acceptance letters will only be sent to home universities’ international offices.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	We won’t send them to students directly or to addresses other than international offices.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	3. Applications overdue won’t be considered.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	4. NJU will assign students’ accommodation according to applications, students are not permitted to change rooms on their wills.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	The average temperature in Nanjing in February is between 4-5°C, but it is possible that it could drop to below 0°C. It is advisable that you bring warm clothing that can be layered, such as shirts and sweaters, and a warm jacket. It may be wise to bring along a wind-and water-proof jacket, in case there may be rainy days.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	"Answers Online"
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	"Answers Online"
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	"Impression of NJU"
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	more than one A4 page, with 8 point size “Times New Roman” font.
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	Your essay would be published on our website of “Impression of NJU”：
location4:not found index:http://stuex.nju.edu.cn/en/a/how_to_apply	The International Students’ Service Office (Visa Affairs)
location4:not found index:http://stuex.nju.edu.cn/en/a/news___announcements/2016/1111/817.html	Recently, we have edited and published the brochure of "Welcome Guide for International Exchange Students".
location4:not found index:http://stuex.nju.edu.cn/en/a/news___announcements/2016/1122/818.html	After enduring sad and dim days of raining, students on NJU seemed to be longing something to stimulate their exhausted nerves. And God proceeded to say, "Let color run come to be." Then there came to be the Color Run with such a perfect sunny weather.
location4:not found index:http://stuex.nju.edu.cn/en/a/news___announcements/2016/1122/818.html	Invited by Enactus, a group of SIECA members took part in one of the most welcomed and well-known activities on NJU campus—— Color Run. On November.5th, there were six colors representing different organizations among which SIECA was the Orange tribe. Once distributed with the orange powder, everyone couldn't resist the temptation and started to draw and write on each other. Then after watching opening shows and doing some warm-ups, all of us were all feeling the vibe and ready to go.
location4:not found index:http://stuex.nju.edu.cn/en/a/news___announcements/2016/1020/812.html	1. Aug 29th –Aug 31st registration for advanced students of Chinese language.
location4:not found index:http://stuex.nju.edu.cn/en/a/news___announcements/2016/1020/812.html	2. Sep 1st –Sep 2nd, class assignment exam and orientation for advanced students of Chinese language.
location4:not found index:http://stuex.nju.edu.cn/en/a/news___announcements/2016/1020/812.html	4. Dec 12th –Dec 16th, reviewing and exam week for advanced students of Chinese language. (Students who want to get scores and credits need to take this exam.) Two more weeks for courses after exams.
location4:not found index:http://stuex.nju.edu.cn/en/a/a_our_rankings/20150802/42.html	NJU ranked high among 200 world leading research institutes and universities, according to the Nature Index (NI) released by Nature Publishing Group on Jun.18th of 2015. NJU published 474 papers in 68 NI journals in 2014, with an NI value of 202.3, which put NJU 37th among 200 world leading research institutes and universities, and 3 rd among Chinese universities. NJU’s Chemistry ranked 16th worldwide and 4th nationwide, with Physical Sciences ranked 42th worldwide and 5th nationwide, and Earth & Environmental Sciences ranked 7th in Asia-Pacific area and 3rd nationwide.
location4:not found index:http://stuex.nju.edu.cn/en/a/a_our_rankings/20150802/40.html	NJU ranked high among 200 world leading research institutes and universities, according to the Nature Index (NI) released by Nature Publishing Group on Nov.13th of 2014. NJU published 391 papers in 68 NI journals in 2013, with an NI value of 194.6, which put NJU 38th among 200 world leading research institutes and universities, and 3 rd among Chinese universities. NJU’s Chemistry ranked 15th worldwide and 3rd nationwide, with its Physical Sciences ranked 49th worldwide and 6th nationwide, and Earth & Environmental Sciences ranked 6th nationwide and 3rd among Chinese universities.
location4:not found index:http://stuex.nju.edu.cn/en/a/a_our_rankings/20150802/39.html	According to Thomson Reuters’ Essential Science Indicators, 15 academic disciplines at NJU are ranked in the top 1% worldwide and are ranked top among Chinese universities. These disciplines are: Chemistry, Physics, Materials Science, Geosciences, Clinical Medicine, Environment/Ecology, Engineering, Biology & Biochemistry, Pharmacology & Toxicology, Neuroscience & Behavior, Mathematics, Computer Science, Plant & Animal Sciences, and Social Sciences.
location4:not found index:http://stuex.nju.edu.cn/en/a/introduction_to_nju/2016/1031/813.html	You could download the "Nanjing Metro Map" to select the line you would like to take.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	1.The origin of the term the “Silk Road” and the its mass fervor in the present world
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	Many years ago, I received a booklet describing the Silk Road written by a Sri Lankan friend, which begins with a question raised by his son to him: “What is the Silk Road? Does there exist a road made from Silk? ”Now we can answer the question like this: the Silk Roads is a term and a symbol referring to the political, cultural and economic exchanges between the east, including China, Russian Far East, Korea, Japan, and Central Asia, Eurasia, South east Asia, the Indian Ocean as well as the Mediterranean worlds.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	1) Desert Routes Expedition, starting from Xi’an of China, finishing in Kashghar of Xinjiang, China. This expedition was carried out in the summer of 1989, a symposium of limited scale was organized in Dunhang of Gansu province, and a large scale international conference was held in Urumqi of Xinjiang, focusing on the topic “Trans-continental Silk Road and Cultural Exchanges between the East and the West before the 10th century”.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	The above-mentioned two expeditions were later jointly organized in the summer of 1992, called “Expedition of Nomadic/Altaic Routes”, which started from Hovdo city, and the capital town of a Mongolian province having the same name in the Altai area, and ended in Ulaan Baatir, the capital of Mongolia. Therefore the whole line was located in Mongolia. Prof. Shi Weiming, Sechen Choqtu, and me joined this expedition as Chinese specialists.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	Since the 2nd half of 2013 the Silk Road has become a popular word cited frequently in different media, as President Qi Jingping suggested building “the Silk Road Economic Belt” jointly with the neighboring countries during his visit to the 4 ex-Soviet Central Asian countries (namely Kazakhstan, Kirghizstan, Uzbekistan and Tajikistan), and participated in the 2013 summit meeting of the SCO (Shanghai Cooperation Organization) between Sept. 4th and 13th.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	SCO was founded in 2001 based on the Agreement of the Trust Measures of Bordering area’s negotiation between China and its neighbors, namely Russia, Kazakhstan, Kirghizstan, Tajikistan. The 2nd stage of this agreement was the establishment of SCO, or Shanghai Five, as it was call at that time. For at the beginning the agreement was reached among the above mentioned 5 countries, and the original member states were those countries. And later, Uzbekistan and Turkmenistan joint it this organization.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	Now we may look at China’s neighboring world. Except Japan and Korea, to the north, Russia and Mongolia are two countries with less population and rich natural sources. To the west, namely Central Asia, West Asia, there are countries either with a huge population, like Pakistan, or with rich natural sources. And Southeast Asian countries usually have big populations and close historical links with China.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	Additionally, we should not forget that all these countries are far away from the modern industrial and scientific centers, like Europe and the US, and it will be difficult for them to develop independently into industrial societies. In this case, it is natural for them to choose to cooperate with China, to share the results and to learn the experiences of China’s development.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/669.html	You may have noticed that Pakistan Prime Minister Husein visited China in Feb. 2014, and discussed the issue of building the Sino-Pakistan “Energy Corridor”. As you know, Pakistan transferred the management of Gwadar Port to China in 2013. This port is located near the mouth of the Persian Gulf, and is very close to the oil fields of the middle field. It is planned that oil pipelines, highways and railways will be built between Gwadar Port and Kashghar of Xinjiang.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/668.html	Weber’s law
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/668.html	Raju, J. S. (!992), “The Effect of Price Promotions on Variability in Product Category Sales”, Marketing Science, 11(No.3), 207-220.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/668.html	Black & Decker Power tool Market
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	Intellectual property licensing (negotiation, international perspectives – jurisdiction clauses, arbitration requirements) and elements of technology transfer.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	•
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	Supplementary materials (mainly laws and regulations of the Chinese intellectual property laws):Copyright Law of the People’s Republic of China；Patent Law of the People’s Republic of China ; Trademark Law of the People’s Republic of China.
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	Bingbin Lu, Expedited Patent Examination for Green Inventions: Developing Countries’ Policy Choices, Energy Policy, 2013, vol. 61. SSCI
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	Bingbin Lu, Reconstructing copyright from ‘copy centric’ to ‘dissemination centric’ in the digital age, Journal of Information Science, 2013(4):479-493. SSCI
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	英语教学情况：参与南京大学中德法学研究所“中国法与比较法”
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	位研究生合上《中国经济法》，英语讲授其中的“知识产权法”部分（共
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	“
location4:not found index:http://stuex.nju.edu.cn/en/a/english_taught_courses/20150812/667.html	”
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20161104/814.html	Uncertainty overwhelmed me when I first reached Nanjing . All the food, people, places were ‘foreign to me’ and I could not get accustomed to it. The classes, the lectures were quite different from my home country, making me more nervous as the days passed.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/672.html	In China, a student coming from Europe will miss many things, but he or she will probably miss food the most. But after returning from China, I discovered the truth, that after the return one misses chinese food twice as much. An international student should ask others and particularly their chinese friends about various good restaurants in Nanjing. There is good food everywhere. One should try as many various dishes as possible. Eating in restaurants in China is very cheap, the food is often very delicious. Near the Gulou campus, one can find many various good restaurants. For example – the noodle restaurant at the end of QingDaoLu – try the famous Biangbiangmian – these are the best noodles I have ever eaten, One should also go to the Taiwanese restaurant in front of the dorms for international students, LanzhouLamian is also something worth trying – one cand eat it in the muslim restaurant on HankouLu, which is situated near two Corean restaurants with delicious shiguofan.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/671.html	Nanjing University, as you are probably alredy well aware, is an old institution that used to be one with the Nanjing normal university etc., etc. … But there is so much more to it than prestige.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/670.html	I landed in a steamy Nanjing September dressed in a ski jacket, having coated up to avoid oversized luggage surcharges. My buddy Dendi, who had contacted me prior, kindly picked me up from the airport and assisted me in finding my hostel, which was wedged into a labyrinthine office complex. I spent my first few nights in a dorm room, meeting the workers from other cities who stayed just a night. Coming just before term began was a good way to warm up my derelict Mandarin skills before selecting a class – I wish I had chosen a higher level as my dormant vocabulary quickly returned.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/670.html	Hearing that the rooms in Xiyuan (西苑宾馆, the international student dorms) didn’t leave much space between you and your roommate, and that apartments could be obtained for a similar price, I began with a hunt for my temporary home. Several landlords didn’t want the hassle of dealing with foreigners, while others wouldn’t accept such short term leases. Ones that did demanded higher rates – I figure it is hard to beat Xiyuan’s price for a short-term lease in the university area. On the day before classes I succumbed and visited an agent, worried that I would be left stranded without a room for the semester. She took me to a few flats, until I found one with a small courtyard close to the campus. Other friends said agents often take you to the worse options first, hoping to offload them, before relenting and going to nicer stock. I mentioned to the agent that I wanted a roommate, which led to a stream of people being led through the house as she would receive another agent fee. In hindsight, I would have sought out my own roommate first before asking for her matchmaking assistance, as most of them would not have suited.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/670.html	Although jumping into China it’s expected to seek the ease and comfort of living with someone from your own culture, parts of me wish I had looked for a Chinese roommate so that learning continued after class. In saying that, other foreign classmates will probably be the first people you meet, and my roommate and I got on brilliantly. Fortunately the Overseas Students Society runs events to connect international classmates with local students. One such event involved cooking a dish from your home country in the basement of Zengxianzilou (曾宪梓楼), which despite a shortage of power points proved a fantastic if chaotic bonding experience. These events are great opportunities; a nightlong dinner with local students will help your fluency advance beyond typical greetings and shop check out conversation, as well as bring a raft of new friends.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/670.html	Regularly we would join the flood of students filling the cavernous cafeteria (食堂) for a subsidised lunch. We were usually the last to leave; the locals didn’t linger. The canteen uses a meal card (campus card) which you can apply for in the Zengxianzilou, and top up on the west side of the fountain roundabout in an office which conveniently closes during lunchtimes. Despite having to sometimes abandon class early to load credit, the jungle of choices always created a compelling lunch amidst the cacophony of students. Vegetable dishes are especially cheap, with special mention to lotus root and curried potatoes. Other favourites included the unassuming den in which you can select your own soup ingredients on Beidongguashi (北东瓜市), or the doupi (豆皮) from Harbin dumplings on Hankou Lu (汉口路).
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/670.html	In the mid-semester break two friends and I chose a river in Anhui on Baidu maps, hired camping equipment from the Xianlin Campus, and caught a train and cab to this random location. Although camping is uncommon in China, and I believe the club we borrowed the tent from used them solely for picnics (they repeatedly asked if we were sure we meant to hire for five days), in the lush Anhui countryside it was easy to find spot to set up. Villagers were surprised, but permissive, when we asked if we could set up for a night. The air was fresh, the hills verdant and the sounds bursting with life. Our ears grew accustomed to varied accents, and our Chinese was tested in sticky situations. Strangers invited us into their living rooms for tea; their stories gave a broader picture than China’ developed metropolises. Snakes slinking by as you use the toilet may not be for everyone, but I would not leave China without venturing out to the paddy fields and villages skirting the industrial charge. It was possibly my favourite part of exchange.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150815/670.html	Although I had experience in China before, there were still a few small aspects of life which differed from the Australian experience. Shop keepers eschewed warm coddling welcomes, and customers generally come second to the TV show illuminating their phone screen. There are uncomfortable times when Westerners are looked upon with admiration or provided with free drinks at bars; discrimination against locals would never sit well back home. Acceptable noise levels in public are also much higher, and you’re bound to be furiously questioning why Candy Crush must be played at full volume on a long-distance train at some point in your stay. But, Chinese hospitality may also catch you off-guard. Many Chinese people, particularly outside of the major cities, will welcome you by generously taking you out for lunch, inviting you to their homes for tea or perhaps treating you to their wedding festivities. Travellers from far away are often viewed as guests, and subsequently privy to intimate cultural activities; the type that would be difficult for newcomers to experience back home.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/56.html	I will always look back fondly on my time at Nanjing University, one of China's oldest and most prestigious institutions. It was a privilege to spend time on the university's beautiful, historic campus, and an honor to be surrounded by intelligent and curious classmates. Both the places and people of Nanjing University soon became my "home away from home," and I carry them with me in my personal and professional endeavors to this day. I would recommend Nanjing University to those hoping to have an authentic and memorable educational experience in China. (Noah Lipkowitz)
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/55.html	“Nestled in between the bustling city center (Xinjiekou) and the idyllic Xuanwu Lake, Nanjing University provides students with the perfect vantage point to enjoy the dynamic pulse of a rapidly growing city. Its convenient location allows easy access to Nanjing’s most famous attractions, including Purple Mountain, the Presidential Palace, and the 1912 Bar Street, while its status as a National Key University ensures a high-quality student body and vibrant academic experience. Studying at a program through Nanjing University was the perfect stepping point for cultivating my professional career in China.” (Nick Marro)
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/53.html	I had only been in China once, before applying for my exchange semester at Nanjing University. I chose to go to Nanjing University rather randomly, as I had never visited any of the Chinese cities nor universities that I was able to choose from at my own university’s international office. Looking back now, it seems like I made a good choice. Nanjing is a big city – from a Dutch perspective anyway -, but it doesn’t feel that way. Its alleged seven million inhabitants are not crowded upon one another in a tightly-knit metropolis, but spread out over a vast area that is easily travelled by the many metro lines and abundant buses. As a Dutchman, however, I wouldn’t feel comfortable anywhere unless I could ride my bike, so that’s what I did. Already within the first week of arriving I managed to obtain a nice – though admittedly small – bike on which I was able to fully explore Nanjing’s downtown area. Don’t let the sheer amount of bike lanes fool you, though. They provide one with some respite from the organized chaos that is Nanjing traffic, but that certainly doesn’t mean you are able to ride around carefree. There are still the numerous dead-silent and unexpectedly fast electric scooters to contend with. However, once you get used to the scooters and appreciate your rightful place in Nanjing traffic’s pecking order as a cyclist or pedestrian – which is definitely at the bottom – then you will notice how easily this city is travelled and might even find some joy out of it. Failing that you might want to try using a taxi, there is always one near and available; when it’s not raining that is.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/53.html	Feeling fully confident about my limited knowledge of Nanjing’s downtown area, I turned my attention towards registering at the university in my second week after arriving. In the big line for the registration office I saw many international students greeting friends that they made during a previous semester at Nanjing University. To me, it showed that people like it there and come back when they have the chance. At the time I would’ve never thought I’d be preparing for another Chinese exchange 18 months later, but that is exactly the case: I’m leaving for Nanjing again in September 2015.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/53.html	When attending Nanjing University you are automatically enrolled in the university’s Mandarin-Chinese language program. This entails daily Mandarin classes on your own level (Monday through Friday, from 08:00 am until 12:00), plus homework and the occasional exam. I found the program to be quite efficient, with apt teachers and the possibility to easily switch between levels whenever needed. In one semester I went from complete novice to reasonable conversational level; about HSK 3 – or so I’m told. During my coming exchange, which will last for a year, I hope to reach a level with which I will be able to learn about the language through conversation in Chinese. Right now I am still dependent on English translation for all of my studying efforts. Next to the language-program there are quite a number of other English-taught classes that you can attend, which I definitely recommend. It gives you an opportunity to experience actual Chinese classes taking place, with Chinese classmates. Also make sure to sign up for The Great Thinkers of China; a great Chinese philosophy class taught by Julius from Lithuania!
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/53.html	The university provides housing in Xiyuan Hotel, which is just off-campus in downtown Nanjing, and adjacent to the building in which the Mandarin-program is taught. After a quick snack at one of the Chinese breakfast stalls in the morning – or a cream cheese bagel with coffee for the less adventurous-minded breakfast enthusiasts, it is only a two-minute walk to the classroom – which does include a flight of stairs I’m afraid. After class there are restaurants of many Chinese cooking regions to choose from for a well-deserved lunch with your classmates. There are also options for living outside of the international student community. Renting an apartment is quite affordable, but does require some help from locals that are familiar with the ins and outs of the Nanjing housing-market. Someone that might be able to help you with this is your language-buddy; make sure you sign up for that program! These are English-speaking students that are able to help you with some of the more difficult logistics involved in setting up a life in China. It is a great way to get in touch with a local student in the initial stages of your stay; someone that can show you around. There is much you can both learn from this contact, so make sure you treasure it. I was very happy to meet my language-buddy and ended up being friends with him up to his day.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/53.html	There is a lot more I could talk about really, but I think the best advice I can give you is: just do it. I have met few people that have regretted coming to China, or Nanjing. It is fun, interesting, at times confrontational and overall a great experience; especially if you stay open-minded towards different ways of living a life. It is easy to complain about a lot of stuff, as many international temporary residents frequently do. But actually digging down through stuff that might at first feel outlandish and awkward gives you the reward of starting to understand a bit of other ways of being that might not be as ‘other’ as you had expected.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/53.html	Don’t hesitate to ask! (Schrijvers)
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	MESSAGE from doctor’s study stay in programme EXPERTS4ASIA, Nanjing University, Nanjing, China, 2/9/2014 – 1/2/2015.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	My name is Hana Novotná and I am a doctoral student at the Department of Art, Masaryk University in Brno, Czech Republic. In 1991, I graduated from Academy of Arts, Architecture and Design in Prague, CZ, Atelier of Ceramics and Porcelain, where I spent a long time as a teacher as well. In 2013, I have commenced my doctoral studies at the Department of Art, Masaryk University in Brno, where I also teach nowadays.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	My dissertation is called „Porcelain as a conceptual medium“, tendencies towards new interpretation of porcelain artwork and its application not only as a utility material but also as a part of conceptual artwork, the subtitle being „A reflection of a new approach to the artistic education at tertiary studies“.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	What I also fully understood here was that for the genuine reliability of my research, it is necessary for me to focus at the Chinese language as well. That allowed me to study the materials required directly, not only mediately, whether this relates to books, museum and art gallery collections or meeting the artists and discussions on their current work. To broaden my skills in Chinese, I used the opportunity given to me by Nanjing University – learning the Chinese language directly in the lectures, by intensive courses led by the local native speakers in the authentic environment for the whole period of my stay. These studies are essential for my dissertation, so as I could lead my research truly in depth. The knowledge of the language allows me to understand the Chinese culture, mentality, to be able to find the authentic materials which are essential for the dissertation; not to be dependent only on the indirect information, but to draw from the original sources instead. Since my dissertation is partly focused on the education at tertiary degree, these intensive studies also allowed me to observe the outstanding level of the Nanjing University educators.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	During this semester, I have already been given the opportunity to publish my experiences from the research at Nanjing University in the monograph called Trasy, which was created under the leadership of doc. PaedDr. Hana Babyrádová, Ph.D. at Masaryk University in Brno. The book was published during the May of 2015. By writing the article directly during my stay at Nanjing University I became the member of realization research team for this monograph.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	The Trasy monograph is an expert publication dealing with research of analogies of historical aspects and contemporary innovative tendencies in education and art. It documents the experiments and research realized by students, educators, artists and theoreticians at Masaryk University. My contribution named „Na trase za zpětnou vazbou – DAO“(„At the trail of feedback – DAO“) focuses on using traditions and traditional patterns in porcelain artwork. The article aims to point out the one of universally valid significant moments for artwork creation, this being the necessity of realization of the historical context. Therefore, the porcelain artwork appears at the trail of feedback. To become more illustrative, two significantly different cultures are put into contrast, while still having a deep historical background in the particular field. The contemporary Czech artwork contrasts with Chinese artistic production. The selection of Czech part emerges from the contemporary work of the young artists. Chinese part is represented by world-famous and respected artists. References to the tradition are distinctively different in the particular artworks of every single artist. What is common for both parts is the historical parallel, an attempt to experiment, a new approach and application of newly discovered overlaps into this ancient material. The vision of a confrontation of the artistic approach to this phenomenon at two continents, two completely – not only geographically – different countries such as the Czech Republic and China, is the backbone of the whole text and my dissertation.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	I also published my article “Celadon a mysterious colour ” in Yarrobil Magazine, Issue one, May 2015.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/52.html	Brno, 30th of July, 2015 Hana Novotna, M.A. (Hana Novotná )
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/51.html	Nanjing University also has a “Buddy program”, which I mention also below. Buddy is a young student of NJU, that speaks English and with your buddy you can not only avoid unpleasant experiences (being robbed of while bargaining, not being able to find something you need to buy), but also practice your Chinese. They can show you around, take you to meet new people and explain some cultural differences when things become unclear. I quickly became friends with buddies of my friends and we altogether often went for a dinner or had hot pot at our apartment. These memories are very precious and I will remember them for rest of my life. Having such nice and openminded optimistic friends, which are very happy to help you, is priceless and I am very glad that I could, thanks to Nanjing University Buddy program, have such a warmhearted experience.
location4:not found index:http://stuex.nju.edu.cn/en/a/impression_of_nju/20150805/51.html	Registration and getting visa: If you need residence permit, you need to go through various types of registration. Besides getting your papers checked at the registration in school, you need to go to Zhangfuyuan subway station to get your medical papers checked. Prepare at least 500 yuan and a pack of patience. If your HIV tests do not specifically say that they are for “HIV1 and HIV2” they will not be accepted. Stamp on them needs to be red and all (of course) in English or Chinese. Lung x-ray needs to have a picture on CD and most of the people I met there did not get away with EKG test either. Easiest way is just to give up, stand in the queue, and pay. All together should be lower than 500 yuan. You will also probably need to go to the police station to register where you live, but that differs.
location4:not found index:http://stuex.nju.edu.cn/a/gzzd/20161011/1299.html	南京大学“海外卓越研修计划专项经费”使用办法.pdf
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	404 - 找不到文件或目录。
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	服务器错误
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	404 - 找不到文件或目录。
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	您要查找的资源可能已被删除，已更改名称或者暂时不可用。
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	404 - 找不到文件或目录。
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	服务器错误
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	404 - 找不到文件或目录。
location3:'utf8' codec can't decode byte 0xd5 in position 248: invalid continuation byte	您要查找的资源可能已被删除，已更改名称或者暂时不可用。
location4:not found index:http://stuex.nju.edu.cn/a/changqixiangmu/20161021/1328.html	获得校荐资格的同学请根据“
